# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16305
#@/user_id	795262db-87d0-4783-b0bf-776301b58950
a 	啊	c=234 d=2.55875 t=16075
zhang ba san lu 	丈八三路	c=2 d=1.92312 t=15304
zhang ba wu lu 	丈八五路	c=1 d=1 t=6486
zhang ba xi lu 	丈八西路	c=1 d=1 t=15273
zhang bao 	張保	c=1 d=1 t=13461
zhang bu dong le 	漲不動了	c=1 d=1 t=4563
zhang dan 	賬單	c=0 d=0.1 t=15282
zhang dan di zhi 	賬單地址	c=1 d=1 t=15283
zhang de 	漲得	c=1 d=1 t=5594
zhang de 	長的	c=1 d=1 t=12727
zhang de kuai 	長得快	c=0 d=0.1 t=5606
zhang fu 	漲幅	c=1 d=1 t=6444
zhang gong zi le 	漲工資了	c=1 d=1 t=12710
zhang hao 	賬號	c=1 d=0.1 t=14121
zhang hao ba 	賬號吧	c=1 d=1 t=9537
zhang hao bu 	賬號不	c=1 d=1 t=9673
zhang hao mi ma 	帳號密碼	c=1 d=1 t=9800
zhang hu 	賬戶	c=5 d=1 t=15163
zhang jia le 	漲價了	c=2 d=1.96079 t=9239
zhang kong 	掌控	c=0 d=0.1 t=12417
zhang kong yu yan 	掌控語言	c=1 d=1 t=12418
zhang kou 	張口	c=0 d=0.1 t=10114
zhang kou jiu lai 	張口就來	c=1 d=1 t=10115
zhang le 	漲了	c=3 d=1.06457 t=12743
zhang san feng 	張三丰	c=0 d=0.1 t=11707
zhang tie 	張貼	c=1 d=1 t=11123
zhang ting 	漲停	c=0 d=0.1 t=13656
zhang zhe 	仗着	c=1 d=1 t=10469
zhao 	找	c=4 d=0.93527 t=13901
zhao 	招	c=0 d=0.1 t=12332
zhao 	着	c=2 d=1 t=11573
zhao bu chu 	找不出	c=0 d=0.1 t=12420
zhao bu dao 	找不到	c=1 d=1 t=14098
zhao dao 	找到	c=5 d=1.07465 t=15985
zhao dao 	招到	c=0 d=0.1 t=9512
zhao dao ren 	招到人	c=1 d=1 t=9513
zhao de 	找的	c=2 d=1 t=13696
zhao ge 	找個	c=1 d=1.2038 t=2055
zhao ge dui xiang 	找個對象	c=1 d=1 t=2034
zhao ge hao gu niang 	找個好姑娘	c=1 d=1 t=1867
zhao ge shi jian 	找個時間	c=0 d=0.1 t=14375
zhao ge yue sao me 	找個月嫂麼	c=1 d=1 t=13902
zhao gong zuo 	找工作	c=1 d=1 t=10251
zhao gu 	照顧	c=3 d=0.573642 t=14058
zhao gu ni 	照顧你	c=1 d=1 t=6280
zhao gu wa 	照顧娃	c=2 d=1.25158 t=13984
zhao gu yun fu 	照顧孕婦	c=1 d=1 t=14059
zhao hang 	招行	c=2 d=0.131279 t=14353
zhao hang ka le 	招行卡了	c=1 d=1 t=14013
zhao hang li mian jiu you 	招行裏面就有	c=1 d=1 t=14354
zhao huan 	召喚	c=1 d=1 t=4707
zhao ji 	着急	c=1 d=1 t=11197
zhao ni 	找你	c=1 d=0.1 t=10972
zhao ni 	照你	c=0 d=0.1 t=10787
zhao ni men 	照你們	c=1 d=1 t=10788
zhao nv sheng 	招女生	c=1 d=1 t=8328
zhao pian 	照片	c=1 d=1 t=15383
zhao ren 	找人	c=1 d=1 t=12787
zhao shi xi sheng 	招實習生	c=1 d=1 t=687
zhao ta 	找他	c=1 d=1 t=2970
zhao wo 	找我	c=2 d=1 t=12094
zhao xi fu 	找媳婦	c=1 d=1 t=461
zhao yi ge 	找一個	c=1 d=1 t=16024
zhao zhao 	找着	c=1 d=1 t=1849
zhao zhao 	朝朝	c=0 d=0.1 t=13483
zhao zhao bao 	朝朝寶	c=2 d=1.01317 t=14350
zhe 	哲	c=1 d=1 t=11176
zhe 	折	c=1 d=1 t=14092
zhe 	着	c=5 d=1.00063 t=15814
zhe 	這	c=10 d=0.110163 t=14846
zhe bian 	這邊	c=2 d=0.100003 t=9673
zhe bo cao zuo 	這波操作	c=1 d=1 t=13604
zhe bu shi 	這不是	c=1 d=1 t=9002
zhe bu suan ba 	這不算吧	c=1 d=1 t=1059
zhe bu tai fu he yao qiu 	這不太符合要求	c=1 d=1 t=14847
zhe bu xin xian de 	着不新鮮的	c=1 d=1 t=6165
zhe cao zuo 	這操作	c=1 d=1 t=5563
zhe chi 	着喫	c=1 d=1 t=6506
zhe ci 	這次	c=10 d=1.0044 t=14488
zhe dian ti 	這電梯	c=1 d=1 t=4253
zhe dong xi 	這東西	c=1 d=1 t=10453
zhe dou 	這都	c=1 d=1 t=4753
zhe dou shi 	這都是	c=2 d=1.06995 t=12423
zhe duan shi jian 	這段時間	c=1 d=1 t=3691
zhe ge 	這個	c=110 d=3.91899 t=16274
zhe ge bu shi 	這個不是	c=1 d=1 t=8557
zhe ge bu tai qing chu le 	這個不太清楚了	c=1 d=1 t=806
zhe ge cai 	這個才	c=1 d=1 t=1555
zhe ge di fang 	這個地方	c=2 d=1 t=5054
zhe ge diao 	這個叼	c=1 d=1 t=4525
zhe ge fu wu qi 	這個服務器	c=1 d=1 t=742
zhe ge hao 	這個好	c=1 d=1 t=727
zhe ge ji qi 	這個機器	c=8 d=1.21514 t=15335
zhe ge jia li 	這個家裏	c=1 d=1.056 t=1399
zhe ge man 	這個慢	c=1 d=1 t=12231
zhe ge men er 	這哥們兒	c=1 d=1 t=11734
zhe ge shi 	這個是	c=4 d=1.01804 t=16253
zhe ge shi er 	這個事兒	c=1 d=1 t=10934
zhe ge shi hou 	這個時候	c=1 d=1 t=3061
zhe ge shi jian 	這個時間	c=1 d=1 t=12120
zhe ge shi wo men 	這個是我們	c=1 d=1 t=13269
zhe ge tian 	這個天	c=1 d=1 t=1490
zhe ge xuan xiang 	這個選項	c=1 d=1 t=15931
zhe ge yue 	這個月	c=3 d=2.08751 t=12896
zhe ge zhuang tai 	這個狀態	c=1 d=1 t=7352
zhe gong ju 	這工具	c=1 d=1 t=6963
zhe gu 	這股	c=1 d=1 t=7718
zhe hai mei nong hao ne 	這還沒弄好呢	c=1 d=1 t=13646
zhe hou lai 	這後來	c=1 d=1 t=5259
zhe hui 	這會	c=1 d=1.00002 t=12923
zhe hui bu hui shi 	這會不會是	c=1 d=1 t=700
zhe hui hai you dian shi 	這會還有點事	c=1 d=1 t=3609
zhe hui le 	這會了	c=1 d=1 t=310
zhe hui zai le 	這會在了	c=1 d=1 t=11250
zhe ji ge 	這幾個	c=2 d=1.96561 t=10271
zhe ji qi 	這機器	c=3 d=1 t=9992
zhe ji tian 	這幾天	c=3 d=1 t=12045
zhe jiu shi 	這就是	c=2 d=1.00002 t=5072
zhe ju zi 	這橘子	c=1 d=1 t=3626
zhe ke 	這可	c=1 d=0.100422 t=11575
zhe ke neng 	這可能	c=1 d=1 t=4824
zhe ke za zheng 	這可咋整	c=1 d=1 t=11576
zhe li 	這裏	c=0 d=0.1 t=9026
zhe li mian 	這裏面	c=1 d=1 t=15638
zhe li you ge 	這裏有個	c=1 d=1 t=9027
zhe liang 	這兩	c=2 d=1.96561 t=4407
zhe liang ge 	這兩個	c=1 d=1 t=9198
zhe liang tian 	這兩天	c=1 d=1 t=12056
zhe mai dian 	這買點	c=1 d=1 t=8742
zhe me 	這麼	c=4 d=0.10002 t=15455
zhe me bu zhi qian 	這麼不值錢	c=1 d=1 t=11730
zhe me can 	這麼慘	c=1 d=1 t=4829
zhe me da 	這麼大	c=1 d=0.1 t=10186
zhe me deng lu 	這麼登錄	c=1 d=1 t=7012
zhe me duo 	這麼多	c=2 d=1 t=13345
zhe me ji 	這麼急	c=1 d=1 t=13892
zhe me jin 	這麼近	c=1 d=1 t=10574
zhe me kuai 	這麼快	c=2 d=1 t=12008
zhe me nan 	這麼難	c=0 d=0.1 t=13946
zhe me nan gou tong me 	這麼難溝通麼	c=1 d=1 t=13947
zhe me pian yi me 	這麼便宜麼	c=1 d=1 t=13753
zhe me shuo 	這麼說	c=1 d=1 t=10789
zhe me shuo ta 	這麼說他	c=1 d=1 t=6707
zhe ne 	着呢	c=1 d=1.08564 t=6556
zhe niang er 	這孃兒	c=2 d=1.95123 t=5534
zhe po ji qi 	這破機器	c=1 d=1 t=4045
zhe qing kuang 	這情況	c=2 d=1 t=6939
zhe ren 	哲人	c=1 d=1 t=12723
zhe ren 	這人	c=1 d=1 t=12724
zhe san ge 	這三個	c=1 d=0.1 t=12993
zhe san ge ji qi 	這三個機器	c=1 d=1 t=12994
zhe she bei 	這設備	c=1 d=1 t=11114
zhe shen me shi hou fa de 	這什麼時候發的	c=1 d=1 t=11545
zhe shi 	這是	c=2 d=1.00042 t=5405
zhe shi jie 	這世界	c=1 d=1 t=12465
zhe shi na li 	這是哪裏	c=1 d=1 t=11570
zhe shi shen me 	這是什麼	c=1 d=1 t=13532
zhe shi wo 	這是我	c=2 d=1.94176 t=3161
zhe shi zui ji ben de 	這是最基本的	c=1 d=1 t=14071
zhe teng 	折騰	c=2 d=0.1 t=12740
zhe tiao 	這條	c=0 d=0.1 t=11883
zhe tiao gui ze 	這條規則	c=1 d=1 t=11884
zhe wan yi er 	這玩意兒	c=1 d=1 t=11228
zhe wen ti 	這問題	c=3 d=1.0025 t=8476
zhe wen ti bu xiu hao 	這問題不修好	c=1 d=1 t=2497
zhe wo 	這我	c=0 d=0.1 t=10750
zhe wo dou bu dong 	這我都不懂	c=1 d=1 t=10751
zhe xi fu 	這媳婦	c=1 d=1 t=458
zhe xia 	這下	c=1 d=1 t=5948
zhe xie 	這些	c=10 d=0.129092 t=15492
zhe xie dai ma 	這些代碼	c=1 d=1 t=13525
zhe xie ge 	這些個	c=1 d=1 t=3537
zhe xie gong neng de hua 	這些功能的話	c=1 d=1 t=15493
zhe xie qian 	這些錢	c=1 d=0.1 t=14380
zhe xie ri zhi 	這些日誌	c=1 d=1 t=11409
zhe xie shu ju ku 	這些數據庫	c=1 d=1 t=10870
zhe xue xiao 	這學校	c=1 d=1 t=9822
zhe yang 	這樣	c=19 d=1.08478 t=14446
zhe yang de 	這樣的	c=1 d=1 t=4900
zhe yang jiu ke yi le 	這樣就可以了	c=1 d=1 t=10306
zhe ye bu shi ge ban fa 	這也不是個辦法	c=1 d=1 t=12030
zhe ye tai 	這也太	c=1 d=1 t=13937
zhe ye tai can le 	這也太慘了	c=1 d=1 t=11693
zhe ye tai huai le 	這也太壞了	c=1 d=1 t=10462
zhe ye tai nan le 	這也太難了	c=1 d=0.138197 t=4291
zhe ye tai nan le ba 	這也太難了吧	c=1 d=1 t=4292
zhe yi 	這一	c=0 d=0.1 t=11076
zhe yi dun 	這一頓	c=1 d=1 t=10680
zhe yi jia 	這一家	c=1 d=1 t=4695
zhe yi jing yi zha 	這一驚一乍	c=1 d=1 t=4017
zhe yi kuai 	這一塊	c=1 d=1 t=14157
zhe yi tao 	這一套	c=3 d=2.77473 t=12371
zhe yi zhou 	這一週	c=4 d=1.97531 t=14705
zhe you dian nan du 	這有點難度	c=1 d=1 t=10404
zhe you ge 	這有個	c=1 d=1 t=741
zhe you sha bu li jie 	這有啥不理解	c=1 d=1 t=11911
zhe yu mi 	這玉米	c=1 d=1 t=4567
zhe za zheng 	這咋整	c=1 d=1 t=9727
zhe zhen zi 	這陣子	c=2 d=1.00136 t=10250
zhe zhong 	這種	c=12 d=1.00127 t=13655
zhe zhong fang shi 	這種方式	c=0 d=0.1 t=1175
zhe zhong qing kuang 	這種情況	c=2 d=1 t=8618
zhe zhong qing kuang xia 	這種情況下	c=1 d=1 t=1109
zhe zhong shi 	這種事	c=2 d=1 t=10981
zhe zhou 	這週	c=11 d=1.00125 t=16048
zhe zhou shi 	這週是	c=1 d=1 t=10950
zhe zhou wu 	這週五	c=1 d=1 t=13648
zhen 	真	c=1 d=0.102756 t=14143
zhen 	鎮	c=0 d=0.1 t=2388
zhen de 	真的	c=4 d=1.04779 t=9823
zhen de bei 	真的被	c=1 d=1 t=1631
zhen de e xin 	真的噁心	c=1 d=1 t=6572
zhen de hao zhuan ye 	真的好專業	c=1 d=1 t=14144
zhen de hen pian yi 	真的很便宜	c=1 d=1 t=9760
zhen de hen xin ku 	真的很辛苦	c=1 d=1 t=9753
zhen dui 	針對	c=3 d=1.97531 t=16065
zhen e le 	真餓了	c=1 d=1 t=1050
zhen e xin 	真噁心	c=2 d=1.0802 t=13378
zhen fen ren xin 	振奮人心	c=1 d=1 t=1556
zhen feng le 	真封了	c=1 d=1 t=11527
zhen he li 	真合理	c=1 d=1 t=12328
zhen jia 	真假	c=1 d=1 t=4720
zhen keng 	真坑	c=1 d=1 t=459
zhen lie 	陣列	c=1 d=1 t=10383
zhen mei 	真沒	c=0 d=0.1 t=12330
zhen mei ban fa 	真沒辦法	c=1 d=1 t=12331
zhen mei qian 	真沒錢	c=1 d=1 t=14415
zhen mei you le 	真沒有了	c=1 d=1 t=13247
zhen niu 	真牛	c=1 d=1 t=10038
zhen shi 	真是	c=3 d=1 t=13123
zhen shuo bu hao le 	真說不好了	c=1 d=1 t=8146
zhen ta niang de 	真他娘的	c=1 d=1 t=13319
zhen xing 	真行	c=0 d=0.1 t=5388
zhen xing a 	真行啊	c=1 d=1 t=5389
zhen zhou zhuan bu kai 	真週轉不開	c=1 d=1 t=8355
zheng 	證	c=1 d=0.413326 t=14314
zheng bi xu yao you 	證必須要有	c=1 d=1 t=14072
zheng chang 	正常	c=7 d=1 t=15887
zheng chang a 	正常啊	c=1 d=1 t=7723
zheng chang de ba 	正常的吧	c=1 d=1 t=7311
zheng chang xiao hua 	正常消化	c=1 d=1 t=6931
zheng er ba jing 	正兒八經	c=1 d=1 t=4356
zheng gu 	正股	c=1 d=1 t=7226
zheng gui 	正規	c=1 d=1 t=2820
zheng gui 	正軌	c=1 d=1 t=2819
zheng ji 	整機	c=1 d=1 t=6847
zheng le 	掙了	c=0 d=0.1 t=6491
zheng le qian 	掙了錢	c=1 d=1 t=6492
zheng li 	整理	c=0 d=0.1 t=13569
zheng li xia 	整理下	c=2 d=1.96561 t=13577
zheng men 	正門	c=0 d=0.1 t=5581
zheng mian 	正面	c=1 d=1 t=9478
zheng qian 	掙錢	c=1 d=0.101657 t=9930
zheng qu 	政區	c=1 d=1 t=1722
zheng qu 	爭取	c=1 d=1 t=1723
zheng quan 	證券	c=0 d=0.1 t=6781
zheng quan yin hang 	證券銀行	c=1 d=1 t=6782
zheng shu 	正數	c=1 d=1 t=7102
zheng shu 	證書	c=1 d=1 t=7103
zheng xiang 	正向	c=0 d=0.1 t=14879
zheng xiang dai li 	正向代理	c=2 d=1.66365 t=14962
zheng yong 	徵用	c=1 d=1.06079 t=2715
zheng yong bu shang 	徵用不上	c=1 d=1 t=2716
zheng zai 	正在	c=0 d=0.1 t=14900
zheng zai shua xin 	正在刷新	c=1 d=1 t=14901
zhi 	之	c=3 d=0.210175 t=11270
zhi 	值	c=0 d=0.1 t=3760
zhi 	只	c=1 d=1 t=6613
zhi 	指	c=1 d=1 t=14483
zhi 	直	c=1 d=1 t=15478
zhi bao 	至寶	c=0 d=0.1 t=12463
zhi biao 	指標	c=0 d=0.1 t=6130
zhi bu guo 	只不過	c=1 d=1 t=5513
zhi cheng 	支撐	c=2 d=1.97531 t=4994
zhi chi 	支持	c=15 d=1.11615 t=16002
zhi da 	之大	c=0 d=0.1 t=7705
zhi dao 	知道	c=5 d=0.127944 t=15315
zhi dao me 	知道麼	c=1 d=0.155576 t=853
zhi dao teng ren 	知道疼人	c=1 d=1 t=5855
zhi dao xia 	指導下	c=1 d=1 t=13634
zhi de 	值得	c=1 d=0.10001 t=5405
zhi ding 	指定	c=1 d=1 t=5770
zhi fu 	支付	c=3 d=0.1 t=15849
zhi fu bao 	支付寶	c=6 d=1.47919 t=12818
zhi fu bao ke yi me 	支付寶可以麼	c=1 d=1 t=12669
zhi fu ze 	只負責	c=1 d=1 t=13813
zhi heng 	制衡	c=1 d=1 t=9422
zhi hou 	之後	c=15 d=0.10765 t=15721
zhi hou de 	之後的	c=1 d=1 t=5078
zhi hou hui zhu yi 	之後會注意	c=1 d=1 t=2085
zhi huan le 	只換了	c=1 d=1 t=754
zhi jian 	之間	c=2 d=1.00135 t=13602
zhi jie 	直接	c=23 d=1.04642 t=16288
zhi jie cao zuo 	直接操作	c=1 d=1 t=10653
zhi jie cao zuo shu ju ku 	直接操作數據庫	c=1 d=1 t=10593
zhi jie chong qi 	直接重啓	c=1 d=1 t=10201
zhi jie cun 	直接存	c=1 d=1 t=5186
zhi jie shuo jiu shi 	直接說就是	c=1 d=1 t=9892
zhi jie yong 	直接用	c=1 d=1 t=5288
zhi lai 	只來	c=0 d=0.1 t=3029
zhi lai yuan yu 	只來源於	c=1 d=1 t=3030
zhi lei 	之類	c=6 d=1.48302 t=15724
zhi lei de 	之類的	c=7 d=1.00176 t=10550
zhi lian 	直連	c=1 d=1 t=5652
zhi liu 	之流	c=1 d=1 t=3478
zhi liu 	直流	c=1 d=1 t=3477
zhi nei 	之內	c=0 d=0.1 t=12106
zhi neng 	只能	c=1 d=1 t=8577
zhi qian 	之前	c=25 d=1.09933 t=16095
zhi qian dou hao le a 	之前都好了啊	c=1 d=1 t=15314
zhi qian you wen ti 	之前有問題	c=1 d=1 t=3214
zhi shen me 	指什麼	c=1 d=1 t=3232
zhi shi 	只是	c=20 d=1.40822 t=16085
zhi shi wo de guan dian 	只是我的觀點	c=1 d=1 t=6898
zhi shi yong guo 	只是用過	c=1 d=1 t=13622
zhi shu 	指數	c=2 d=1 t=8785
zhi shu 	直書	c=1 d=1 t=4194
zhi sun 	止損	c=4 d=1 t=12542
zhi tong 	直通	c=1 d=1.20637 t=15442
zhi tong xian ka 	直通顯卡	c=1 d=1 t=15443
zhi tou 	指頭	c=1 d=1 t=2070
zhi wai 	之外	c=0 d=0.146533 t=2692
zhi xian shi 	只顯示	c=1 d=1.06561 t=1759
zhi xian shi yi ge 	只顯示一個	c=1 d=1 t=1760
zhi xiang 	只想	c=1 d=1 t=3645
zhi xiang 	指向	c=1 d=1 t=15436
zhi xing 	執行	c=0 d=0.274975 t=10673
zhi yao 	只要	c=2 d=1.00001 t=10579
zhi yao 	旨要	c=5 d=1.00001 t=10578
zhi you 	只有	c=6 d=1 t=15893
zhi you jin nian 	只有今年	c=1 d=1 t=13035
zhi yu 	至於	c=0 d=0.1 t=1321
zhi yu me 	至於麼	c=1 d=1 t=1322
zhi zai 	只在	c=2 d=1 t=12245
zhi zai 	指在	c=1 d=1 t=8433
zhi ze 	職責	c=2 d=1.5599 t=11086
zhi zhi dao 	只知道	c=0 d=0.1 t=2812
zhi zhong 	製種	c=2 d=1.00635 t=8908
zhi zhou 	值周	c=5 d=1 t=16052
zhi zui 	之罪	c=0 d=0.1 t=11706
zhong 	中	c=5 d=0.100091 t=14964
zhong 	種	c=0 d=0.1 t=13470
zhong ceng 	中層	c=1 d=1 t=13311
zhong chou 	衆籌	c=1 d=1 t=16171
zhong de 	種的	c=1 d=1 t=5604
zhong dian 	中電	c=0 d=0.1 t=15827
zhong dian yun 	中電雲	c=1 d=1 t=15828
zhong duan 	終端	c=2 d=1.97045 t=15145
zhong gui 	終歸	c=0 d=0.1 t=12431
zhong gui bu shi 	終歸不是	c=1 d=1 t=12432
zhong guo lian tong 	中國聯通	c=1 d=1 t=13654
zhong guo ren 	中國人	c=1 d=1 t=10479
zhong guo tong shi 	中國通史	c=9 d=6.21938 t=8632
zhong hua 	中華	c=6 d=2.80308 t=13388
zhong hua wen hua 	中華文化	c=1 d=1 t=12138
zhong jian 	中間	c=2 d=1.00016 t=12377
zhong le 	中了	c=1 d=1 t=8358
zhong nian 	中年	c=1 d=1.15023 t=2317
zhong nian de shi er 	中年的事兒	c=1 d=1 t=2316
zhong nian ren 	中年人	c=1 d=1.17139 t=2309
zhong nian ren le 	中年人了	c=1 d=1 t=2302
zhong qiu 	中秋	c=1 d=1 t=5596
zhong qiu jie 	中秋節	c=1 d=1 t=6540
zhong tu 	中途	c=2 d=1.85642 t=8839
zhong wu 	中午	c=9 d=1.00109 t=13342
zhong wu dao xian zai 	中午到現在	c=1 d=1 t=6936
zhong wu hao hao chi 	中午好好喫	c=1 d=1 t=1569
zhong wu mei chi 	中午沒喫	c=1 d=1 t=3558
zhong xin 	中心	c=0 d=0.1 t=6070
zhong yao 	重要	c=0 d=0.1 t=15657
zhong yao shu ju 	重要數據	c=1 d=1 t=15658
zhong zhao 	中招	c=1 d=1 t=6416
zhong zi 	種子	c=8 d=1 t=14439
zhou 	周	c=0 d=0.100006 t=4449
zhou 	粥	c=1 d=0.1 t=10025
zhou bao 	週報	c=3 d=1 t=16104
zhou dian 	粥店	c=1 d=1 t=7198
zhou gong 	周公	c=0 d=0.1 t=2502
zhou gong zi 	周公子	c=1 d=1 t=2503
zhou gong zi 	周工資	c=1 d=1 t=2502
zhou liu 	週六	c=1 d=0.100006 t=13895
zhou liu bu xing 	週六不行	c=1 d=1 t=13896
zhou mo 	週末	c=2 d=0.1 t=13075
zhou mo jia ban 	週末加班	c=1 d=1 t=3505
zhou mo qu mai 	週末去買	c=1 d=1 t=13076
zhou qi 	週期	c=1 d=1 t=6249
zhou ri 	週日	c=2 d=1.99005 t=7686
zhou san 	週三	c=2 d=1.97531 t=13500
zhou si 	週四	c=1 d=1 t=13502
zhou wu 	週五	c=2 d=1 t=11246
zhou yu 	咒語	c=1 d=1 t=4708
zhou zhuan 	週轉	c=0 d=0.1 t=8354
zhou zhuan bu kai 	週轉不開	c=1 d=1 t=8361
zhu 	住	c=0 d=0.1 t=14417
zhu 	煮	c=1 d=1.09851 t=3054
zhu 	祝	c=1 d=0.1 t=13323
zhu ban 	主板	c=1 d=1 t=16176
zhu ban geng huan le 	主板更換了	c=1 d=1 t=774
zhu bu xia qu 	住不下去	c=1 d=1 t=14418
zhu ce 	註冊	c=2 d=1.23011 t=13286
zhu ce dao shen me di fang 	註冊到什麼地方	c=1 d=1 t=13268
zhu dian cai cai chi 	煮點菜菜喫	c=1 d=1 t=3052
zhu dong 	主動	c=0 d=0.1 t=12009
zhu dong lian xi 	主動聯繫	c=2 d=1.956 t=12019
zhu er 	主兒	c=0 d=0.1 t=2168
zhu ji 	主機	c=3 d=1.06561 t=15586
zhu li 	主力	c=2 d=1 t=4978
zhu rou 	豬肉	c=2 d=1.9802 t=6120
zhu ru 	注入	c=2 d=1.05393 t=6254
zhu shi 	主食	c=2 d=0.1 t=13673
zhu wen 	朱文	c=1 d=1 t=11116
zhu yao 	主要	c=11 d=1.85306 t=16088
zhu yao kan 	主要看	c=1 d=1 t=11379
zhu yao kan ni 	主要看你	c=2 d=1 t=13443
zhu yao shi 	主要是	c=2 d=1 t=15627
zhu yi 	注意	c=5 d=1.00002 t=12151
zhu yi an quan 	注意安全	c=6 d=1.00023 t=11392
zhu yi an quan a 	注意安全啊	c=1 d=1 t=10170
zhu yi dian 	注意點	c=1 d=1 t=2509
zhu yi feng xian 	注意風險	c=1 d=1 t=1182
zhu yi shen ti le 	注意身體了	c=1 d=1 t=2235
zhu yi shi jian jiu hao 	注意時間就好	c=1 d=1 t=4941
zhu yin 	注音	c=1 d=1 t=7683
zhu yuan 	住院	c=0 d=0.1 t=2252
zhu yuan zhang 	朱元璋	c=1 d=1 t=12338
zhu zai 	住在	c=0 d=0.1 t=10072
zhu zai xi an le 	住在西安了	c=1 d=1 t=10073
zhu zhong 	注重	c=0 d=0.1 t=1200
zhua 	抓	c=0 d=0.1 t=9827
zhua lao shu 	抓老鼠	c=1 d=1 t=4789
zhua she 	抓蛇	c=1 d=1 t=5298
zhua zhe xie 	抓這些	c=1 d=1 t=9828
zhuan 	賺	c=1 d=1 t=12201
zhuan 	轉	c=4 d=1.00382 t=14134
zhuan cun 	轉存	c=0 d=0.1 t=2215
zhuan cun de 	轉存的	c=1 d=1 t=2216
zhuan de 	轉的	c=0 d=0.1 t=12198
zhuan duo shao 	轉多少	c=1 d=1 t=8075
zhuan duo zhuan shao 	轉多賺少	c=1 d=1 t=11038
zhuan fa 	轉發	c=1 d=1 t=12588
zhuan fa dao 	轉發到	c=2 d=1.93239 t=12615
zhuan gei 	轉給	c=0 d=0.1 t=1513
zhuan gei ni 	轉給你	c=1 d=1 t=1514
zhuan guo qu 	轉過去	c=0 d=0.1 t=11434
zhuan guo qu le 	轉過去了	c=1 d=1 t=11435
zhuan huan 	轉圜	c=0 d=0.1 t=8487
zhuan huan 	轉換	c=3 d=2.8675 t=8535
zhuan huan de 	轉圜的	c=1 d=1 t=8488
zhuan huan qi lai 	轉換起來	c=1 d=1 t=8521
zhuan le 	賺了	c=1 d=1 t=12992
zhuan le 	轉了	c=1 d=1 t=8774
zhuan men 	專門	c=1 d=1 t=14713
zhuan na me kuai 	轉那麼快	c=1 d=1 t=6910
zhuan ni 	轉你	c=1 d=1 t=11434
zhuan qian 	賺錢	c=0 d=0.1 t=1921
zhuan qian shao 	賺錢少	c=1 d=1 t=1922
zhuan shuo 	專碩	c=2 d=1.81873 t=6766
zhuan wo yin hang ka ba 	轉我銀行卡吧	c=1 d=1 t=8067
zhuan ye 	專業	c=1 d=0.141478 t=14319
zhuan ye de 	專業的	c=1 d=1 t=14065
zhuan ye xing 	專業性	c=0 d=0.1 t=14317
zhuan ye xing zen me yang 	專業性怎麼樣	c=1 d=1 t=14318
zhuan yi 	轉移	c=1 d=1.09802 t=15241
zhuan yi gei ni 	轉移給你	c=1 d=1 t=1517
zhuan zhai 	轉債	c=1 d=0.104361 t=8311
zhuan zhang 	轉賬	c=4 d=3.96037 t=15214
zhuang 	裝	c=3 d=0.106409 t=12293
zhuang cheng gong 	裝成功	c=1 d=1 t=6597
zhuang dao 	撞倒	c=1 d=1 t=11691
zhuang dao 	撞到	c=0 d=0.1 t=2522
zhuang de 	撞得	c=1 d=1 t=2521
zhuang guo 	裝過	c=0 d=0.1 t=11785
zhuang hao 	裝好	c=0 d=0.1 t=6847
zhuang hao de 	裝好的	c=1 d=1 t=6848
zhuang ji 	裝機	c=2 d=1.53794 t=3444
zhuang kuang 	狀況	c=2 d=1.00172 t=10696
zhuang le 	裝了	c=0 d=0.1 t=15517
zhuang long zuo ya 	裝聾作啞	c=1 d=1 t=3063
zhuang me 	裝麼	c=1 d=1 t=11288
zhuang shen me 	裝什麼	c=1 d=1 t=7172
zhuang shi 	裝飾	c=0 d=0.1 t=13538
zhuang shi qi 	裝飾器	c=1 d=1 t=13539
zhuang tai 	狀態	c=3 d=1.03867 t=15120
zhuang tai bian hua le 	狀態變化了	c=1 d=1 t=3209
zhuang wan le 	裝完了	c=1 d=1 t=12294
zhuang xiu 	裝修	c=1 d=1 t=13534
zhuang yi xia 	裝一下	c=1 d=1 t=8710
zhun 	準	c=0 d=0.1 t=5327
zhun bei xia 	準備下	c=1 d=1 t=10610
zhun bei zhun bei 	準備準備	c=0 d=0.1 t=5972
zhuo shi 	着實	c=1 d=1 t=12686
zhuo zi 	桌子	c=1 d=1 t=2561
zi 	子	c=1 d=0.1 t=13123
zi 	字	c=0 d=0.1 t=8084
zi ben 	資本	c=0 d=0.1 t=10103
zi ben de gu shi 	資本的故事	c=1 d=1 t=10104
zi dai 	自帶	c=1 d=1 t=8405
zi ding yi 	自定義	c=2 d=1.85214 t=39
zi dong 	自動	c=6 d=0.235854 t=15649
zi dong chu xian le 	自動出現了	c=1 d=1 t=1139
zi dong chuang jian 	自動創建	c=1 d=1 t=15650
zi dong dao zhang 	自動到帳	c=1 d=1 t=10295
zi dong guan bi 	自動關閉	c=0 d=0.1 t=14618
zi dong hua 	自動化	c=4 d=1 t=14649
zi dong sheng ji 	自動升級	c=1 d=1 t=13210
zi dong tian chong 	自動填充	c=1 d=1 t=14506
zi duan 	字段	c=3 d=1 t=14508
zi duan jian ce 	字段檢測	c=1 d=1 t=11850
zi er 	字兒	c=1 d=1 t=12146
